movieId,userId,rating
2,43,4.684781
2,53,4.509477
2,543,4.4409776
2,12,4.422746
2,452,4.3594947
2,93,4.3356624
2,267,4.3051805
2,46,4.282774
2,201,4.2754936
2,594,4.247234
18,224,5.274367
18,543,5.1049323
18,327,5.1016145
18,12,4.9479504
18,53,4.821447
18,548,4.7843285
18,389,4.7242327
18,35,4.7137566
18,452,4.6972837
18,276,4.6454735
30,191,4.408379
30,258,4.1689353
30,506,4.141807
30,416,3.933158
30,603,3.9291751
30,236,3.9095747
30,325,3.7108502
30,391,3.705841
30,392,3.6997826
30,187,3.6120014
36,53,5.0317564
36,258,5.024686
36,99,4.8573203
36,456,4.771244
36,188,4.761931
36,236,4.757906
36,371,4.732735
36,35,4.7212024
36,162,4.689063
36,389,4.685307
42,337,3.9319592
42,53,3.9141278
42,527,3.8235939
42,423,3.782867
42,584,3.689684
42,505,3.6619256
42,234,3.6398153
42,554,3.630162
42,544,3.6246681
42,485,3.620465
46,413,5.270234
46,543,5.152146
46,558,4.8956633
46,578,4.79361
46,579,4.7663956
46,53,4.647913
46,452,4.563557
46,594,4.55724
46,115,4.5408335
46,169,4.511217
66,423,4.1324725
66,536,3.9864087
66,22,3.9158807
66,485,3.8283262
66,584,3.7716901
66,267,3.7086542
66,337,3.6634433
66,364,3.6198785
66,164,3.6065211
66,544,3.4980607
74,53,4.9136825
74,267,4.9101424
74,93,4.8882113
74,544,4.8846602
74,43,4.883348
74,452,4.869144
74,364,4.8558264
74,12,4.8501596
74,337,4.8315
74,276,4.7676096
79,43,4.4805403
79,543,4.4019046
79,544,3.974853
79,267,3.9469523
79,240,3.9082372
79,337,3.8705065
79,138,3.836038
79,243,3.8329895
79,327,3.799526
79,12,3.7982283
89,543,4.3538914
89,360,4.2440853
89,587,4.203066
89,413,4.1873775
89,12,4.1113358
89,594,4.100204
89,176,4.085565
89,224,4.0266423
89,584,4.010826
89,53,3.994004
99,191,4.919275
99,236,4.6970887
99,258,4.6786766
99,35,4.460407
99,59,4.418232
99,360,4.3194537
99,90,4.2176228
99,285,4.2140574
99,465,4.168604
99,572,4.133893
104,243,5.097166
104,276,4.9612427
104,12,4.8391747
104,53,4.833202
104,492,4.8123026
104,240,4.7750354
104,43,4.7447968
104,574,4.709308
104,543,4.613295
104,441,4.6073728
118,138,4.095658
118,77,3.732145
118,377,3.6819198
118,53,3.6351755
118,46,3.6204548
118,486,3.594025
118,267,3.5630593
118,244,3.5607023
118,197,3.5403461
118,310,3.526406
119,138,3.5808825
119,77,3.4517825
119,43,3.2661006
119,543,3.2630126
119,485,3.261016
119,53,3.2466662
119,267,3.2375722
119,584,3.2302506
119,568,3.1468747
119,486,3.142799
135,544,4.7083187
135,413,4.3109555
135,97,4.306094
135,53,4.236163
135,240,4.097014
135,452,4.040626
135,210,4.021583
135,93,4.018448
135,155,4.0038314
135,586,3.930339
144,375,4.590538
144,53,4.537754
144,389,4.4648733
144,258,4.4332666
144,224,4.3921337
144,360,4.351476
144,1,4.3008165
144,99,4.2987037
144,523,4.281
144,371,4.259356
149,603,1.970082
149,236,1.9288491
149,506,1.9002042
149,461,1.8517756
149,191,1.8102796
149,33,1.7766974
149,392,1.755644
149,251,1.7357807
149,258,1.725757
149,296,1.718114
153,43,4.311341
153,344,4.1227427
153,53,4.0923953
153,337,4.0571256
153,543,4.0422173
153,492,4.0289607
153,267,3.9575965
153,544,3.9355893
153,276,3.900923
153,243,3.8990571
158,43,4.35969
158,337,4.157826
158,423,4.151242
158,543,4.102695
158,584,4.009069
158,267,3.9789834
158,201,3.9368844
158,485,3.9119823
158,536,3.907079
158,46,3.858829
172,393,4.5664034
172,388,4.3698034
172,53,4.3284492
172,243,4.1693277
172,276,4.0973845
172,586,4.0946455
172,452,3.9854774
172,413,3.9538991
172,523,3.9418132
